Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Region,Country,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percentage,Total_Sales,Profit_Margin_Pct,Profit_Value
ORD-000001,2024-01-01,CUST-00678,Oliver Patel,38,Female,Middle East,UAE,Beauty & Personal Care,Dyson Airwrap Styler,5,551.4,0.0,2757.0,37.0,1020.09
ORD-000002,2024-01-02,CUST-00595,Layla Smith,41,Male,Middle East,Qatar,Electronics,USB-C Hub 7-in-1,2,45.03,0.0,90.06,8.4,7.57
ORD-000003,2024-01-03,CUST-00126,Muhammad Hill,47,Female,Latin America,Brazil,Sports & Outdoors,Speedo Swim Goggles,1,29.06,10.0,26.15,28.0,7.32
ORD-000004,2024-01-03,CUST-00375,Richard Santos,31,Female,Latin America,Colombia,Electronics,Ring Video Doorbell,1,100.92,10.0,90.83,14.2,12.9
ORD-000005,2024-01-03,CUST-00825,Priya Dupont,32,Male,Asia Pacific,South Korea,Beauty & Personal Care,La Mer Moisturizing Cream,5,286.76,0.0,1433.8,58.8,843.07
ORD-000006,2024-01-04,CUST-00936,Zara Johnson,47,Female,Asia Pacific,Singapore,Clothing,Levi's 501 Jeans,4,80.86,7.0,300.8,52.0,156.42
ORD-000007,2024-01-04,CUST-01184,Riley Kim,20,Female,Latin America,Argentina,Beauty & Personal Care,Charlotte Tilbury Lipstick,2,28.86,0.0,57.72,52.5,30.3
ORD-000008,2024-01-05,CUST-00973,Rafael Thompson,42,Male,North America,USA,Electronics,Sony WH-1000XM5 Headphones,2,320.21,2.0,627.61,17.8,111.71
ORD-000009,2024-01-05,CUST-00479,William Wang,29,Female,North America,USA,Clothing,Puma Running Shorts,2,25.51,23.0,39.29,49.0,19.25
ORD-000010,2024-01-07,CUST-01362,Charles Carter,35,Female,Asia Pacific,Japan,Home & Kitchen,Philips Hue Smart Bulb Set,3,64.88,2.0,190.75,33.9,64.66
ORD-000011,2024-01-07,CUST-01120,Susan Anderson,18,Male,Latin America,Brazil,Clothing,Puma Running Shorts,2,41.14,16.0,69.12,46.6,32.21
ORD-000012,2024-01-10,CUST-00940,Robert Roberts,40,Female,Middle East,Qatar,Clothing,H&M Cotton T-Shirt Pack,3,25.42,0.0,76.26,50.3,38.36
ORD-000013,2024-01-11,CUST-00725,Hana Thomas,37,Male,North America,Canada,Clothing,Calvin Klein Underwear Set,2,37.64,0.0,75.28,33.8,25.44
ORD-000014,2024-01-11,CUST-01094,Susan Scott,43,Female,Middle East,Qatar,Clothing,Gucci Belt,4,368.16,0.0,1472.64,53.9,793.75
ORD-000015,2024-01-11,CUST-01792,Robert Allen,41,Female,Middle East,Qatar,Clothing,Calvin Klein Underwear Set,1,43.66,4.0,41.91,54.7,22.92
ORD-000016,2024-01-12,CUST-00154,Thomas Singh,47,Male,Europe,Netherlands,Electronics,Sony WH-1000XM5 Headphones,1,315.57,10.0,284.01,19.7,55.95
ORD-000017,2024-01-12,CUST-00984,James Smith,42,Female,Asia Pacific,Australia,Home & Kitchen,Ninja Air Fryer XL,1,118.07,5.0,112.17,24.2,27.15
